Funai Helong	heg	mauka,	cuscus	(**mantəR),	\cite[19]{Edwards2018c}	(\it{mauka} borrowed from Meto)
		muti		misc.
Roi'is Amarasi	(aaz)	urum	cuscus	misc.	Edwards fieldnotes
Kotos Amarasi	aaz	ukum	cuscus	misc.	Edwards fieldnotes
Amanuban	(aoz)	ukum	cuscus	misc.	Edwards fieldnotes
Amanatun	(aoz)	ukum	cuscus	misc.	Edwards fieldnotes
Amanatun, Lotas	(aoz)	aukum	cuscus	misc.	Edwards fieldnotes
Amanatun, Toianas	(aoz)	akum	cuscus	misc.	Edwards fieldnotes
Fatule'u	(aoz)	maukaʔ/maukuʔ	cuscus	(**mantəR)	Edwards fieldnotes
Amfo'an	(aoz)	ukum	cuscus	misc.	Edwards fieldnotes
Timaus	(aoz)	ʔmaukuʔ	cuscus	(**mantəR)	Edwards fieldnotes
Kopas	(aoz)	ʔmaukaʔ/ʔmaukuʔ	cuscus	(**mantəR)	Edwards fieldnotes
Ketun	(aoz)	ʔmaukaʔ	cuscus	(**mantəR)	Edwards fieldnotes
Ketun, Nai'oni	(aoz)	ʔmakuʔ	cuscus	(**mantəR)	Edwards fieldnotes
Molo	(aoz)	‹mauku›	cuscus	(**mantəR)	\cite[316]{Middelkoop1972}
Miomafo	(aoz)	ʔmaukaʔ	cuscus	(**mantəR)	Edwards fieldnotes
Miomafo, Tuamese'	(aoz)	makuʔ	cuscus	(**mantəR)	Edwards fieldnotes
Insana	(aoz)	ʔmaukaʔ	cuscus	(**mantəR)	Edwards fieldnotes
Kusa-Manea	(aoz)	akum	cuscus	misc.	Edwards fieldnotes
Fehan Tetun	tet	kmeda	cuscus	(**mantəR)	\cite[112]{Morris1984}
East Tetun	tet	meda	cuscus	(**mantəR)	\cite[140]{Morris1984}
Waima'a	wmh	mide	cuscus	(**mantəR)	\cite{HimmelmannFreitas2006}
Dadu'a	---	madah	cuscus	**mantəR	\cite[99]{Penn2006}
Galolen	gal	madar	cuscus	(**mantəR)	\cite{Schapper2011}
Ili'uun	ilu	maʧa	cuscus	**mantəR	\cite[127]{DeJosselinDeJong1947}
